
🕒 2025-01-06 06:31:51+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-06 06:31:56+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-06 08:11:36+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 09:39:18+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-06 09:39:41+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-06 09:39:51+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-06 09:40:02+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-06 13:34:50+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 13:34:51+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 13:34:52+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 17:55:54+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.1, numberOfActivatedRadiators_CurrentTemperatureBrake.1, powerPerPreform_CurrentTemperatureBrake.1
🕒 2025-01-06 18:19:19+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-06 18:19:36+00:00: Anomalías en energyPerPreform_ActualTemperatureCoolingCircuit2.0, numberOfActivatedRadiators_ActualTemperatureCoolingCircuit2.0, powerPerPreform_ActualTemperatureCoolingCircuit2.0
🕒 2025-01-06 19:36:56+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 19:36:59+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 19:37:01+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 19:37:02+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 19:37:03+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 21:35:06+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 22:13:34+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-06 22:32:01+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-07 00:50:24+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
